Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
E82JK7JE,journalArticle,2022,"Török, Árpád",Do Automated Vehicles Reduce the Risk of Crashes–Dream or Reality?,IEEE Transactions on Intelligent Transportation Systems,,1558-0016,10.1109/TITS.2022.3212280,,"In the future, the role of the human factor in the driving processes is expected to decrease continuously. At the same time, based on the global trends, the role of computer-supported decision systems and artificial intelligence (AI)-based control solutions increases in relation to driving processes, which carries a significant safety-enhancing potential. To assess the possible social benefits of automated vehicle systems objectively, it is necessary to analyze the possible negative effects in detail as well. Accordingly, the aim of this article is to present a statistical survey of crashes involving automated vehicles today in order to identify and evaluate the factors that are relevant in the crashes. The analyzed data showed that when the autopilot mode was turned off and the human driver made the control decisions, the severity of crashes on straight roads was greater at $\alpha $ $=$ 0.1 significance level than when the vehicle was in autopilot mode and the vehicle system made the control decisions. In addition, if the $\alpha $ significance level is 0.2, then crashes on plain terrain, during the day, or in the speed range of 80-100 km/h are generally less serious for vehicles driven in autopilot mode than for vehicles with autopilot mode turned off. In light of the considerations above, it is also important to emphasize that this paper only investigates crash severity given occurrence but not the probability of occurrence itself.",2022,10/25/2022 14:41,10/25/2022 14:41,,10-Jan,,,,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Intelligent Transportation Systems,,C:\Users\Quan\Zotero\storage\94FWTASE\9925988.html; C:\Users\Quan\Zotero\storage\664NDMPC\Török - 2022 - Do Automated Vehicles Reduce the Risk of Crashes–D.pdf,,,Automated vehicles; Safety; Accidents; Autopilot; collision causes of highly automated vehicles; crash severity of highly automated vehicles; Databases; Human factors; Reliability; risk factors; statistical data analysis; Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99QSPZ32,webpage,2022,"Zipper, David",Don’t expect your car’s safety technology to save you,The Verge,,,,https://www.theverge.com/2022/10/24/23414578/adas-car-technology-safety-traffic-crash-research,What if ADAS is just for convenience?,10/24/2022,10/24/2022 17:29,10/24/2022 17:29,10/24/2022 17:29,,,,,,,,,,,,,,en-US,,,,,,,,,C:\Users\Quan\Zotero\storage\4X4N6I8V\adas-car-technology-safety-traffic-crash-research.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFFF2XT9,journalArticle,2022,"DeGuzman, Chelsea A.; Donmez, Birsen",Drivers don’t need to learn all ADAS limitations: A comparison of limitation-focused and responsibility-focused training approaches,Accident Analysis & Prevention,,0001-4575,10.1016/j.aap.2022.106871,https://www.sciencedirect.com/science/article/pii/S0001457522003062,"Expecting drivers to learn and remember numerous limitations may not be a practical approach to training for advanced driver assistance systems (ADAS), particularly for self-initiated training in the absence of formal training requirements. One alternative is focusing on the importance of the driver remaining engaged in the driving task (responsibility-focused approach). We investigated the effects of two training videos (responsibility-focused and limitation-focused) on reliance intention, trust, and ADAS knowledge. In a remote study, participants (N = 61) watched dashcam clips (8 that require takeover, 8 no takeover) and for each clip, they reported whether they would manually intervene and their trust in ADAS (assessing situational reliance intention and trust, respectively). Participants also completed a questionnaire that included items measuring ADAS knowledge. Responses were collected at three stages: pre-training, post-training, and a follow-up session (minimum four weeks later). There were no significant differences between approaches in terms of knowledge of situations in which ADAS would not work, appropriate situational reliance intention, or trust in takeover scenarios. Compared to the responsibility-focused video, the limitation-focused video was associated with lower trust in no takeover scenarios and negative bias at post-training (i.e., bias towards reporting that ADAS would not work for the knowledge questionnaire and bias towards taking manual control/not using ADAS for the dashcam clips). Given the limited differences between training approaches and potential drawbacks of the limitation-focused approach, our results suggest that the responsibility-focused training approach is worth exploring further.",12/1/2022,10/20/2022 20:43,10/20/2022 20:43,10/20/2022 20:43,106871,,,178,,Accident Analysis & Prevention,Drivers don’t need to learn all ADAS limitations,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Quan\Zotero\storage\2ZYMJ2HH\DeGuzman and Donmez - 2022 - Drivers don’t need to learn all ADAS limitations .pdf; C:\Users\Quan\Zotero\storage\SDCMCDCL\S0001457522003062.html,,,Advanced driver assistance; Driving automation; SAE Level 2 automation; Signal detection theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L7DNLQZV,journalArticle,2022,"DeGuzman, Chelsea A.; Donmez, Birsen",Drivers don’t need to learn all ADAS limitations: A comparison of limitation-focused and responsibility-focused training approaches,Accident Analysis & Prevention,,0001-4575,10.1016/j.aap.2022.106871,https://www.sciencedirect.com/science/article/pii/S0001457522003062,"Expecting drivers to learn and remember numerous limitations may not be a practical approach to training for advanced driver assistance systems (ADAS), particularly for self-initiated training in the absence of formal training requirements. One alternative is focusing on the importance of the driver remaining engaged in the driving task (responsibility-focused approach). We investigated the effects of two training videos (responsibility-focused and limitation-focused) on reliance intention, trust, and ADAS knowledge. In a remote study, participants (N = 61) watched dashcam clips (8 that require takeover, 8 no takeover) and for each clip, they reported whether they would manually intervene and their trust in ADAS (assessing situational reliance intention and trust, respectively). Participants also completed a questionnaire that included items measuring ADAS knowledge. Responses were collected at three stages: pre-training, post-training, and a follow-up session (minimum four weeks later). There were no significant differences between approaches in terms of knowledge of situations in which ADAS would not work, appropriate situational reliance intention, or trust in takeover scenarios. Compared to the responsibility-focused video, the limitation-focused video was associated with lower trust in no takeover scenarios and negative bias at post-training (i.e., bias towards reporting that ADAS would not work for the knowledge questionnaire and bias towards taking manual control/not using ADAS for the dashcam clips). Given the limited differences between training approaches and potential drawbacks of the limitation-focused approach, our results suggest that the responsibility-focused training approach is worth exploring further.",12/1/2022,10/20/2022 20:43,10/20/2022 20:43,10/20/2022 20:43,106871,,,178,,Accident Analysis & Prevention,Drivers don’t need to learn all ADAS limitations,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Quan\Zotero\storage\TLTXFX9Q\S0001457522003062.html,,,Advanced driver assistance; Driving automation; SAE Level 2 automation; Signal detection theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X84JQAQA,blogPost,2021,"Schnell, Mychael",Study links adaptive cruise control to increased crash risk,The Hill,,,,https://thehill.com/policy/transportation/542793-study-links-adaptive-cruise-control-to-increased-crash-risk/,"The use of adaptive cruise control technology puts drivers at a higher risk of traffic accidents due to increased likelihood of speeding, according to a study released Thursday by the Insuranc…",3/11/2021,10/18/2022 17:32,10/18/2022 17:32,10/18/2022 17:32,,,,,,,,,,,,,,en-US,,Text,,,,,,,C:\Users\Quan\Zotero\storage\VDZJKK4H\542793-study-links-adaptive-cruise-control-to-increased-crash-risk.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5UZTQL6,webpage,,"Reilly, Claire",Driving Blind: This Headset Lets You Drive in a Car Without Windows,CNET,,,,https://www.cnet.com/roadshow/news/honeywell-360-display-headset-lets-you-drive-in-a-car-without-windows/,"The Honeywell 360 Display combines camera and sensor data to create a ""360 view dome"" inside a vehicle, letting drivers see the road even if the windows are blacked out.",,10/18/2022 17:22,10/18/2022 17:22,10/18/2022 17:22,,,,,,,Driving Blind,,,,,,,en,,,,,,,,,C:\Users\Quan\Zotero\storage\N7QHCCRR\honeywell-360-display-headset-lets-you-drive-in-a-car-without-windows.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MB868HH,webpage,2022,"Becker, Jan","An overview of taxonomy, legislation, regulations, and standards for automated mobility",Apex.AI,,,,https://www.apex.ai/post/legislation-standards-taxonomy-overview,"Updated: September 30, 2022. We are regularly updating this article. The change log at the bottom of the article. This is the fourth post of the series on a Brief History of Automated Driving. The other posts can be found here, here, and here. I have been working on autonomous vehicles and driver assistance systems for over24 years. During this time, I have had many touch points with legal and regulatory aspects as well as with functional safety and the respective certification. I helped write t",10/6/2022,10/18/2022 17:13,10/18/2022 17:13,10/18/2022 17:13,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\Quan\Zotero\storage\9BFB4SF3\legislation-standards-taxonomy-overview.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IK8W6CMM,webpage,,,"Despite warnings, many people treat partially automated vehicles as self-driving",IIHS-HLDI crash testing and highway safety,,,,https://www.iihs.org/news/detail/despite-warnings-many-people-treat-partially-automated-vehicles-as-self-driving,"Partial automation isn't meant to replace the human driver. But for many owners,&#160;the technology is an enabler of dangerous multitasking behind the wheel.",,10/18/2022 17:13,10/18/2022 17:13,10/18/2022 17:13,,,,,,,,,,,,,,en,,,,,,,,,C:\Users\Quan\Zotero\storage\9NYKWZ7F\despite-warnings-many-people-treat-partially-automated-vehicles-as-self-driving.html,,Unfiled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4LUX2PA,journalArticle,2022,"Kaye, Sherrie-Anne; Nandavar, Sonali; Yasmin, Shamsunnahar; Lewis, Ioni; Oviedo-Trespalacios, Oscar",Consumer knowledge and acceptance of advanced driver assistance systems,Transportation Research Part F: Traffic Psychology and Behaviour,,1369-8478,10.1016/j.trf.2022.09.004,https://www.sciencedirect.com/science/article/pii/S1369847822002030,"This research aimed to examine how personal car users are informed about Advanced Driver Assistance Systems (ADAS) in Australia, and the extent to which information received at point of sale influenced the level of understanding and adaptation of ADAS. Further, this study applied the Technology Acceptance Model (TAM) to assess drivers’ intentions to use ADAS within the next month. Participants were required to have purchased a new or second-hand vehicle within the past five years and which had at least one of the following five ADAS: autonomous emergency braking, lane departure warning, adaptive cruise control, blind spot monitoring, and rear cross traffic alert. Participants (N = 217, Mage = 47.87 years, 149 male) completed a 20-minute online questionnaire. The findings revealed that 122 (56%) participants reported not seeking out any information about ADAS prior to purchasing their vehicle. Further, the most reported approaches used by participants to learn about their vehicle’s ADAS were through the owner’s manual (n = 121, 55%) and via trial and error (n = 117, 54%). It was also found that total time spent with the salesperson in explaining ADAS features did not influence drivers’ level of understanding of ADAS or number of days to adapt to the ADAS in their vehicle. However, and consistent with the TAM, perceived usefulness and perceived ease of use were significant positive predictors of intentions to use ADAS within the next month. It was also found that participants who learnt about these technologies either via reading the owner’s manual, trial and error, or a verbal explanation at point of sale appeared to be more frequently classified as reporting higher acceptance of ADAS than those participants who did not use those learning methods. Given that technology in vehicles will continue to advance, it is vital that more work is conducted to educate drivers about the functionality of ADAS. Further, it is also important to communicate where buyers of personal cars can go and find accurate and reliable information about ADAS.",10/1/2022,9/21/2022 17:42,10/11/2022 22:00,9/21/2022 17:42,300-311,,,90,,Transportation Research Part F: Traffic Psychology and Behaviour,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Quan\Zotero\storage\W3UWM8AZ\Kaye et al. - 2022 - Consumer knowledge and acceptance of advanced driv.pdf; C:\Users\Quan\Zotero\storage\MDASV3KQ\S1369847822002030.html,,Include,Human factors; Driver behaviour; Education; Knowledge; Technology Acceptance Model; Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9EMTT6V7,journalArticle,2022,"Feinauer, Sophie; Schuller, Lea; Groh, Irene; Huestegge, Lynn; Petzoldt, Tibor",The potential of gamification for user education in partial and conditional driving automation: A driving simulator study,Transportation Research Part F: Traffic Psychology and Behaviour,,1369-8478,10.1016/j.trf.2022.08.009,https://www.sciencedirect.com/science/article/pii/S1369847822001760,"Drivers must establish adequate mental models to ensure safe driver-vehicle interaction in combined partial and conditional driving automation. To achieve this, user education is considered crucial. Since gamification has previously shown positive effects on learning motivation and performance, it could serve as a measure to enhance user education on automated vehicles. We developed a tablet-based instruction involving gamified elements and compared it to instruction without gamification and a control group receiving a user manual. After instruction, participants (N = 57) experienced a 30-minute automated drive on a motorway in a fixed-base driving simulator. Participants who received the gamified instruction reported a higher level of intrinsic motivation to learn the provided content. The results also indicate that gamification promotes mental model formation and trust during the automated drive. Taken together, including gamification in user education for automated driving is a promising approach to enhance safe driver-vehicle interaction.",10/1/2022,9/17/2022 16:40,10/11/2022 21:59,9/17/2022 16:40,252-268,,,90,,Transportation Research Part F: Traffic Psychology and Behaviour,The potential of gamification for user education in partial and conditional driving automation,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Quan\Zotero\storage\ZKW2BUTJ\Feinauer et al. - 2022 - The potential of gamification for user education i.pdf; C:\Users\Quan\Zotero\storage\6D8R5WLV\S1369847822001760.html,,Include,Automated driving; Gamification; Mental model; Mode awareness; Motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H55YKQS7,journalArticle,2022,"Brijs, Tom; Mauriello, Filomena; Montella, Alfonso; Galante, Francesco; Brijs, Kris; Ross, Veerle",Studying the effects of an advanced driver-assistance system to improve safety of cyclists overtaking,Accident Analysis & Prevention,,0001-4575,10.1016/j.aap.2022.106763,https://www.sciencedirect.com/science/article/pii/S0001457522001993,"Among all crashes involving cyclists, a motorist approaching from behind a cyclist on a shared lane is particularly dangerous and likely to result in serious injuries and fatalities. Previous research has highlighted that inadequate lateral distance and high vehicle speed are among the main contributing factors of crashes involving cars overtaking cyclists. A new advanced driver assistance system (ADAS) which supports drivers as they overtake cyclists was designed to avoid or, at least, mitigate crashes. In human–machine interface (HMI) design, the information was presented via multiple modalities with a multistage warning system. A combination of lateral clearance (LC) and time-to-danger (TTD) parameters was used as ADAS activation criterion. Experimentation was carried out using the medium-fidelity driving simulator at the Transportation Research Institute (IMOB) of Hasselt University in Belgium. Forty-eight drivers drove the two-lane rural experimental route two times, in baseline condition and with the ADAS activated, testing three overtaking events. Statistical tests showed that the proposed in-vehicle driving assistance system had a significant effect in increasing 1) the length of the passing phase, 2) the LC in the overtaking passing phase, and 3) the TTD along the overtaking maneuver. No effect of the ADAS system on vehicle speed was observed. Overall, the designed system is effective in improving car-cyclist overtaking behaviour in terms of both safety and cyclists’ mobility.",9/1/2022,7/5/2022 16:05,10/11/2022 21:58,7/5/2022 16:05,106763,,,174,,Accident Analysis & Prevention,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\Quan\Zotero\storage\PNI4QLKS\Brijs et al. - 2022 - Studying the effects of an advanced driver-assista.pdf; C:\Users\Quan\Zotero\storage\MSEMT3PM\S0001457522001993.html,,Exclude,ADAS system; Lateral clearance; Multilevel warning; Multimodal warning; Overtaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQZXHCBF,journalArticle,2022,"Stiegemeier, Dina; Kraus, Johannes; Bringeland, Sabrina; Baumann, Martin",Motivated to Use: Beliefs and Motivation Influencing the Acceptance and Use of Assistance and Navigation Systems,International Journal of Human–Computer Interaction,,1044-7318,10.1080/10447318.2022.2088658,https://doi.org/10.1080/10447318.2022.2088658,"More and more technical systems enter the vehicle impacting drivers’ experiences. In the human-centered design, an understanding of influencing factors for acceptance and usage is crucial to align in-vehicle technology with the user needs. Addressing the underlying psychological processes, this work modelled drivers’ usage intentions with motivational regulations (SDT), the TAM, and the UTAUT. An online study with 319 German drivers was conducted examining drivers’ positive or negative experiences with assistance and infotainment systems in the vehicle. In linear regressions, the TAM and UTAUT predicted the acceptance equally for assistance and navigation systems. Amotivation, identified regulation, and intrinsic regulation enhanced the prediction of usage intentions by 3.0–15.4% in addition to the UTAUT variables revealing the additional benefit of incorporating the motivational perspective into the modeling of in-vehicle technology acceptance. Future research and practitioners can build upon this theoretical basis and recommendations on improving motivation and well-being.",7/1/2022,7/5/2022 16:07,10/11/2022 21:56,7/5/2022 16:07,16-Jan,,0,0,,,Motivated to Use,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2022.2088658,,C:\Users\Quan\Zotero\storage\MUQ9TT3C\Stiegemeier et al. - 2022 - Motivated to Use Beliefs and Motivation Influenci.pdf; C:\Users\Quan\Zotero\storage\MPTHCGNC\10447318.2022.html,,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C8NB25W,journalArticle,2022,"Kidd, David G.",Improving the safety relevance of automatic emergency braking testing programs: An examination of common characteristics of police-reported rear-end crashes in the United States,Traffic Injury Prevention,,1538-9588,10.1080/15389588.2022.2090544,https://doi.org/10.1080/15389588.2022.2090544,"Objective Forward collision warning and automatic emergency braking (AEB) systems help prevent rear-end crashes where a vehicle strikes the rear of another. However, the benefits may be limited if the systems are stymied by common crash circumstances or only target scenarios evaluated in vehicle testing programs. This study examined the prevalence of characteristics that may limit AEB system performance in police-reported rear-end crashes and the relevance of scenarios used to evaluate these systems.Methods Police-reported rear-end crashes (n = 6,731,215, Crash Report Sampling System) and fatal rear-end crashes (n = 4,285, Fatality Analysis Reporting System) with a fatality in the striking or struck vehicle during 2016–2019 were analyzed. Percentages of police-reported rear-end crashes, nonfatal-injury rear-end crashes, and fatal rear-end crashes were computed to identify common crash characteristics. Roadway speed limit was used as a proxy for striking vehicle speed.Results A straight-moving vehicle striking a stopped or decelerating vehicle on roads with a speed limit of 40 km/h (25 mph) or less only accounted for 3% of all rear-end crashes, 3% of nonfatal-injury rear-end crashes, and 1% of fatal rear-end crashes. In contrast, 36% of all rear-end crashes, 36% of nonfatal-injury rear-end crashes, and 11% of fatal rear-end crashes involved a straight-moving vehicle striking a stopped or decelerating vehicle on roads with a speed limit between 56 and 72 km/h (35 and 45 mph). A medium or heavy truck was the struck vehicle in 32% of fatal rear-end crashes, and a motorcycle was the struck vehicle in 11% of fatal rear-end crashes. At least one of the following characteristics that may degrade AEB system performance was present in 14% of the rear-end crashes studied: striking vehicle turning; a struck vehicle turning or changing lanes; a struck vehicle that is not a passenger vehicle; wintery weather; wet or icy roads; or a speed limit of 113 km/h (70 mph) or higher.Conclusion Circumstances shown to diminish AEB effectiveness accounted for 14% of rear-end crashes, and scenarios currently used to evaluate AEB systems accounted for 3%. Evaluating AEB systems at speeds up to 72 km/h (45 mph) and incorporating a motorcycle or medium/heavy truck target will make AEB evaluations more representative of police-reported rear-end crashes.",6/29/2022,7/5/2022 16:05,10/11/2022 21:54,7/5/2022 16:05,6-Jan,,0,0,,,Improving the safety relevance of automatic emergency braking testing programs,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/15389588.2022.2090544 PMID: 35767826,,C:\Users\Quan\Zotero\storage\EGCSUZU4\Kidd - 2022 - Improving the safety relevance of automatic emerge.pdf; C:\Users\Quan\Zotero\storage\HEQAMH2P\15389588.2022.html,,Include,accidents; automatic emergency braking; fatal crashes; motor vehicles; police-reported crashes; Rear-end crashes; traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
