Complete,Reference Information,,,,,,,,,,,,,,,,,,,,Findings (categories),,,,,,,,,,,,,,,,,,,
,ID,Database,Database ID,Citation,Title,"Title Screen (1 = include, 2 = possibly include, 3 = probably exclude, 4 = exclude)",Link,Abstract,"Abstract Screen (1 = include) - includes “ADAS”, “Level 2”, “Level 3”, “driver assistance”, “crash avoidance”, and/or “automation/automated/autonomous”","Exclude (0) if:  Solely focused on driver use (e.g. takeover), alert type, sensors/tech, or any human/machine-interface focus",Divide into Pre-ownership (1) and post-crash (2),Need to discuss whether fits screening? (1) if yes,Have PDF,Reader name,Author(s),Year,"Type of resource (e.g., Journal article, Dissertation/thesis, Book chapter, Technical report, Conference paper, Popular media article)",Study location,Methods,Sample size,ADAS overview/general,"Availability (by type, cost, etc)",Utility/Usage,Vulnerable road users,Findings on Gender/Age,Car buying process,Seller info and training,Marketing and ads,Online sellers,"Mandates, policy & regulatory issues",Safety effects of ADAS,Police and ADAS,Post-crash data collection,"User knowledge, trust, acceptance and education",Legal issues,Limitations/Caveats,Key suggestions for future research,Funding source,Other notes,Read whole article already (Yes/No)
1,98,,,"Horrey, W. J., Benson, A., Guo, Z., Afifah, F., Hamann, C. J., & Santiago, K. R. (2021). Expectations and Understanding of Advanced Driver Assistance Systems Among Drivers, Pedestrians, Bicyclists, and Public Transit Riders.","Expectations and Understanding of Advanced Driver Assistance Systems among Drivers, Pedestrians, Bicyclists, and Public Transit Riders",,https://aaafoundation.org/expectations-and-understanding-of-advanced-driver-assistance-systems-among-drivers-pedestrians-bicyclists-and-public-transit-riders/,"The current study examines the perceptions, understanding and expectations of other road users (bicyclists, pedestrians, transit riders) regarding current advanced driver assistance systems (ADAS), as well as more highly automated future technologies.",,,,,,Kelly Brasseaux,"Horrey, W. J., Guo, Z., Afifah, F., Hamann, C., & Santiago, K.",2021,Report,"Online Survey, location not specified",Online Survey,1531,,,,"different kinds of road users (driver, public transit rider, bicyclist, and pedestrian groups) have significantly different levels of knowledge in and expectations of ADAS. Bicyclists were found to have the highest understanding of ACC and LKA technology (58% accuracy on ACC knowledge and 60% accuracy on LKA knowledge), followed by public transit riders (50% and 58%), pedestrians (53% and 57%), and finally drivers (50% and 52%). However, bicyclists are less likely to change their behavior to increase their safety when interacting with vehicles equipt with ADAS technology. Despite their high level of vulnerability, pedestrians have an inflated sense of confidence in these technologies. Drivers tend to have higher trust in the technologies and a more optimistic outlook for their future than non-drivers.",,,,,,,,,,,,the categories of road user types were very simplistic and do not reflect the complex relationships that users have with different modes of transportation,,,,Y
1,99,N/A,N/A,"Walta, L., Marchau, V. A. W. J., & Brookhuis, K. A. (2006). Stakeholder preferences of Advanced Driver Assistance Systems (ADAS)-a literature review. In 13th World COngress and Exhibition on Intelligent Transport Systems and Services (pp. 1-8). ERTICO.",Stakeholder preferences of advanced driver assistance systems (ADAS)—A literature review.,,Stakeholder preferences of Advanced Driver Assistance Systems (ADAS) - a literature review — TU Delft Research Portal,"Advanced Driver Assistance Systems (ADAS) are generally considered as most promising for reducing road transport externalities (e.g. congestion, traffic accidents, and environmental stress). Until now, however, ADAS implementation progress is very slow. An important reason for this is missing knowledge about how different stakeholders will (re)act to ADAS implementation. Policymakers need to be informed about stakeholder preferences. This paper describes stakeholder preferences with respect to a specific ADAS application, Intelligent Speed Adaptation, based on an extensive literature review.",,,,,Yes,Kelly Brasseaux,"Walta, L., Marchau, V., & Brookhuis, K.",2006,Conference Article,N/A,Using a literature review of previous research on the subject of Intelligent Transportation Systems (ITS),N/A,,,,,,,,,,,,,,"that most stakeholders value safety as the most important outcome of interest of ITS systems, except for the vehicle industry which values factors that decrease financial risk. Additionally, the majority of stakeholders identify warning as their preferred level of intervention opposed to higher levels of intervention like assisting and limiting. ",,,Further research should investigate these preferences with respect to ADAS specifically as well as how preferences are assessed to reflect stakeholders’ true position,,,Y
1,100,DOI,10.1287/isre.1070.0146,"Kuruzovich, J., Viswanathan, S., Agarwal, R., Gosain, S., & Weitzman, S. (2008). Marketspace or marketplace? Online information search and channel outcomes in auto retailing. Information Systems Research, 19(2), 182-201.",Marketspace or Marketplace? Online Information Search and Channel Outcomes in Auto Retailing,,https://doi.org/10.1287/isre.1070.0146,"The growth of the Internet has spawned an increasing number of online information sources (OISs). The effect of OISs on consumer information search processes has been particularly striking in sectors such as auto retailing, where the typical consumer has conventionally been confronted with an unpleasant and inefficient purchase process. However, the relationships between the information found in the online “marketspace,” consumer search in the offline “marketplace,” and other aspects of the multichannel shopping process are not well understood. This study examines the differential impact of price and product information found in the marketspace, relating consumers' information needs and information retrieval from OISs to three shopping-related outcomes—purchase based on online infomediary referral (i.e., referred purchase), intensity of search in the marketplace, and online search satisfaction. We draw on a large data set of more than 16,000 new vehicle purchasers who reported using the Web for search related to their new vehicle purchase. We find that OISs offer different levels of price and product information and consumers are differentiated in their ability to retrieve this information. Further, the retrieval of price versus product information online has important implications for whether consumers consummate their online search through referred purchase or extend their search into the physical marketplace. Our results suggest different business models for infomediaries providing price and product information and underscore the need for designing information provisioning systems of OISs to facilitate transition between the marketspace and the marketplace.",,,,,Yes,Quan Sun,"Kuruzovich, J., Viswanathan, S., Agarwal, R., Gosain, S., & Weitzman, S.",2008,Journal Article,USA,"Using three-stage least squares (3SLS) estimation to analyze secondary survey data (sample of new car buyers in 2003 and 2004, N=6971),",6971,,,,,,,,,,,,,,"Kuruzovich et al. found that the consumers who seek price-related information are more linked to purchasing a vehicle based on the referral of the website. Consumers seeking product-related information are less likely to buy a car using online referrals. This implies that an online buying service that provides product price information is more likely to be successful in referral purchases. Another key finding of the article is that customers are more likely to find information about products and prices on the manufacturers’ websites. It is difficult for the consumer to get either price or product information from newspapers. Visiting a dealer’s website can enhance customers’ knowledge about the product, but not the price. Although not mentioned the ADAS system, this research saw an increase in the number of online searches significantly increases consumers’ knowledge about both the price and product detail of the vehicle.",,"Kuruzovich et al. pointed out the limitation of the study, which is using a cross-sectional survey doesn’t provide the true causal relationship. The author also acknowledges that there might be unobserved other characteristics that affect consumers’ choices.",Further research should investigate the dependencies between information provision strategies of online buying service providers and their relationships with the dealers.,,,Y
1,101,TRID,1845853,"Reagan, I. J., Cicchino, J. B., Teoh, E. R., & Cox, A. E. (2022). New and Used Vehicle Buyers’ Awareness, Understanding, and Trust in Advanced Driver Assistance Systems.","New and Used Vehicle Buyers' Awareness, Understanding, and Trust in Advanced Driver Assistance Systems",,https://www.iihs.org/topics/bibliography/ref/2246,"New and used vehicle buyers’ awareness, understanding, and trust in advanced driver assistance systems' by Reagan, Ian J. / Cicchino, Jessica B. / Teoh, Eric R. / Cox, Aimee E.",,,,,Yes,Quan Sun,"Reagan, I. J., Cicchino, J. B., Teoh, E. R., & Cox, A. E.",2022,Report,"Online/phone survey, location unspecified","Using an online/telephone survey (respondents are buyers who purchased an ADAS-enhanced vehicle between 2016 to 2019, N = 764)",764,,,,,,"Reagan et al. found that the awareness, acceptance, and use of the ADAS system strongly associated with people's intention to purchase an ADAS vehicle. In addition, Reagan et al. found that new vehicle buyers show a higher level of trust, awareness, and understanding of the ADAS system than used vehicle buyers. On the other hand, the survey also revealed that a higher percentage of used car buyers only consider buying a vehicle with a crash avoidance system. In comparison, a higher percentage of new vehicle buyers indicated that the crash avoidance system doesn't affect their choice of purchasing a vehicle. Reagan et al. found that customers who bought a new car received significantly less introduction about the ADAS system than those who purchased a used car. More specifically, more used vehicle customers received demonstration test driving (48.3% vs. 34.1%), were provided online training materials (20.7% vs. 6.5%), and spent more than 20 minutes introducing the crash avoidance system. However, the article's findings are constrained by not controlling the type of sellers (online, dealership, private).",,,,,,,,"Reagan et al. found that introducing the ADAS system at the early ownership phase would likely benefit both the new and used vehicle customers. However, the author also acknowledges that the training at the point of sale is likely to have limited effects, even if it is widely distributed. Reagan argues that given the limitation of training, improving the user knowledge and safe use of ADAS by implementing the user-centered vehicle design is essential.",,"the article's findings are constrained by some unobserved confounding variables, such as the length of vehicle ownership and the type of sellers (online, dealership, private). In addition, this study is limited to only four ADAS systems.",Future research should consider controlling these unobserved variables and collecting field data from vehicle buyers to supplement the survey data.,,,Y
,7,DOI,10.1109/MITS.2014.2336271,"Bengler, K., Dietmayer, K., Farber, B., Maurer, M., Stiller, C., & Winner, H. (2014). Three decades of driver assistance systems: Review and future perspectives. IEEE Intelligent transportation systems magazine, 6(4), 6-22.",Three Decades of Driver Assistance Systems: Review and Future Perspectives,1,Three Decades of Driver Assistance Systems: Review and Future Perspectives | IEEE Journals & Magazine | IEEE Xplore,"This contribution provides a review of fundamental goals, development and future perspectives of driver assistance systems. Mobility is a fundamental desire of mankind. Virtually any society strives for safe and efficient mobility at low ecological and economic costs. Nevertheless, its technical implementation significantly differs among societies, depending on their culture and their degree of industrialization. A potential evolutionary roadmap for driver assistance systems is discussed. Emerging from systems based on proprioceptive sensors, such as ABS or ESC, we review the progress incented by the use of exteroceptive sensors such as radar, video, or lidar. While the ultimate goal of automated and cooperative traffic still remains a vision of the future, intermediate steps towards that aim can be realized through systems that mitigate or avoid collisions in selected driving situations. Research extends the state-of-the-art in automated driving in urban traffic and in cooperative driving, the latter addressing communication and collaboration between different vehicles, as well as cooperative vehicle operation by its driver and its machine intelligence. These steps are considered important for the interim period, until reliable unsupervised automated driving for all conceivable traffic situations becomes available. The prospective evolution of driver assistance systems will be stimulated by several technological, societal and market trends. The paper closes with a view on current research fields.",1,,1,,Yes,Quan Sun,"Bengler K, Dietmayer K, Farber B, et al.",2014,Journal Article,,,,"In the long term, cooperative automated vehicles can be expected from this technical evolution. Today’s market situation of DAS, however, suffers from the following yet unresolved weaknesses: ■ Even when available in the class of compact cars, DAS are ordered only by a minority of customers (Karmasin 2008, Krüger 2008). ■ Overall, DAS acceptance is increasing but are often poorly understood by users (Zwerschke, 2006). ■ DASs are unattainable for relevant social groups and cannot be upgraded or retrofitted. ■ DASs communicate with the carrier vehicle only, and remain isolated from other road users and traffic infrastructure. They have not yet found their way into intermodal traffic (Saust et al. 2012).",,,,"Apart from a general lack of market penetration, it is known that DASs are not well distributed in accordance with the needs of specific user groups. As can be seen from Fig. 2, the groups with the highest probability of being the main perpetrator of an accident are young and old drivers (Destatis 2013). The prevalence of DAS as of today, however, appears limited to a small user group of mostly middle-aged persons (Langwieder et al. 2012). Use of these systems is often impeded by the inability to be retrofitted in one’s current vehicle (Trübswetter & Bengler 2013).",,,"If the market does not accept the developed product, financing further developmental steps may prove difficult. This risk is increased by several mediating influences on a product’s way from its development to its end user. So-called specialist magazines often prefer to rave over the sound and power of a combustion engine instead of covering meaningful technological innovations in an appropriate manner. Even trade chains and car salesmen often fail to promote the technology properly. It is worth pointing out, however, that development of DAS has not always been user-oriented and is therefore, in part, co-responsible for low user acceptance",,"However, in order to maximize their contribution to overall traffic safety, an increased market penetration is required (Lu 2006). This can be achieved by raising awareness for DAS and their benefits throughout the population, or by regulating their implementation by law.A good example for the latter is, e.g. electronic stability control systems (ESC), which are mandatorily included in newly produced vehicles throughout the traditional markets (e.g. from November 2014 on in the EU, (European Union 2008)).",,,,,"Along the paths towards such a vehicle, many arduous issues of homologation and liability have to be addressed. Today’s testing and approval methods are unsuitable for the evaluation of intelligent machines, and new metrics assessing the performance of driving robots are required. Some experts consider this an even greater challenge, than the development of artificial intelligence for autonomous driving itself. The U.S. National Highway Traffic Safety Administration (NHTSA) for example, though explicitly encouraging the development and testing of selfdriving vehicles, has recently published the specific recommendation for state governments to not even attempt to establish safety standards for such technologies at this point in time (NHTSA 2013).",,"Future Research Foci 1. Individualization. ■ Assistance functions addressing specific requirements of specific user groups, especially young or elderly drivers as well as motorcyclists ■ Analysis of traffic accidents after introduction of emergency braking and lane keeping support systems ■ New human machine interfaces to support immersion into an integrated driver-vehicle-system ■ Driver intention recognition ■ Concepts for cooperation between driver and vehicle in automated mode ■ Raise hedonic quality in regard to acceptance and market success ■ International approach to DAS to 2.Machine Perception and Cognition. Future Foci ■ Improved algorithms for vehicle situational awareness in complex traffic scenarios, especially in urban environment ■ Improvement of sensor hardware and software to yield richer high-quality information ■ Development of methods and algorithms to acquire situational awareness at a safety-relevant integrity level ■ Automated generation, updating, and distribution of local dynamic maps ■ Intention and behavior models to predict the behavior of the driver and other traffic participants. Future Foci ■ Testing and evaluation methods for machine cognition and (semi-) automated assistance functions. ■ Concepts for the assessment of human and machine driving performance. 3. Cooperative Driving. Future Foci ■ Incorporation of vehicle2x networks for the sake of traffic safety and efficiency. ■ Collective provision of accurate local traffic information. ■ Collective traffic control based on individually operated cooperative systems. ■ Continual joint mission planning with reliable prediction of the individual vehicle trajectories. ■ Usage optimization of deterministic traffic system concepts. 4. Social Foci of Research. Finally, further interdisciplinary research should be dedicated to determine the social impact of DAS and fully automated driving to pave the way towards its introduction.",,"Depending on the pace at which new assistance systems are implemented, a segregation of high-tech assisted automobiles and still operable older vehicle models may occur to an extent surpassing the already given situation. While such conditions could act as an incentive to buy a new model, they could as well exacerbate discrimination and envy between vehicle holders",Y
,8,ISSN,2305-7254,"Komzalov, A., & Shilov, N. (2014). Driver Assistance Systems: State-of-the-Art and Possible Improvements. In Proceedings of the 20th Conference of Open Innovations Association FRUCT, LETI University, St. Petersburg, Russland.",Driver Assistance Systems: State-of-the-Art and Possible Improvements,1,https://fruct.org/publications/acm20/files/Kom.pdf,"Today, modern vehicles are equipped with various complex systems. Systems related to the class of Advanced Driver Assistance Systems (ADAS) are aimed to assist drivers. Depending on the purposes, these systems can have different architectures and ways of communicating with the driver, e.g., they can use external sources and/or on-board sensors, have different sets of indicators or influence upon other on-board systems. The goals of this paper is to analyze the state of the art in the area of ADAS, develop a comparison based on the analysis and propose possible ways of improvement and future development of such systems.",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,9,DOI,10.1093/ppar/prt006,"Reimer, B. (2014). Driver assistance systems and the transition to automated vehicles: A path to increase older adult safety and mobility?. Public Policy & Aging Report, 24(1), 27-31.",Driver Assistance Systems and the Transition to Automated Vehicles: A Path to Increase Older Adult Safety and Mobility?,1,Driver Assistance Systems and the Transition to Automated Vehicles: A Path to Increase Older Adult Safety and Mobility? | Public Policy & Aging Report | Oxford Academic (oup.com),"As operators of motor vehicles, drivers have been described as “outdated . . . with Stone Age characteristics and performance . . . controlling a fast, heavy machine in an environment packed with unnatural, artificial signs and signals”(Rumar, 1981). Despite our anatomical, physiological, and perceptual shortfalls, the fatality rate in the United Stateshit a historic low of 1.1 fatalities per 100 million vehicle miles traveled (VMT) in 2011 (National Highway Traffic Safety Administration, 2011). Fatal crash involvement by VMT increases by age starting in the mid-60s (Insurance Institute for Highway Safety, 2011), and many individuals begin to curtail or stop driving. However, the cessation of driving due to advanced age comes at great cost. Agerelated losses in the ability to drive equates, at best, to aforfeiture of personal freedom, reliance on the assistance of others to meet basic activities of daily living, and can lead toincreased symptoms of depression (Marottoli et al., 1997). Transitions in driving roles occur throughout one’s lifetime. As medical conditions accrue, they can sporadically or permanently limit driving (Owsley, 2004). Women frequently cease driving earlier than men, and often while stillfit to drive (Alsnih & Hensher, 2003; Siren, HakamiesBlomqvist, & Lindeman, 2004). Widowhood can increase older women’s need to drive (Braitman & Williams, 2011) at a time when this is particularly challenging. On theother hand, even as adults age, they are becoming increasingly economically able to purchase new vehicles (Coughlin, 2009). As a consequence of both the increased numbers and economic independence of older adults, innovations in personal mobility that mitigate the burdens of age will grow in value over the coming decades. A move toward new urbanism, including improved public transit systems and walkable streets and sidewalks, is an admirable vision that would help meet the growing needs of manyolder adults. However, it will require, at considerable cost, rebuilding or retrofitting the existing infrastructure at a rate that is not likely to meet the needs of today’s aging boomers. Fully automated or driverless cars, by contrast, represent a path that promises to enhance the mobility optionsof older adults within the existing infrastructure. However, many consumers do not clearly understand that while the basic building blocks of these systems are available today in advanced driver assistance systems (ADAS), fully automated or driverless vehicles are still on the distant horizon. For the foreseeable future, automated vehicle technologies, including ADAS, will continue to rely on a “responsible” driver to oversee the technology, capable of resuming control and having the foresight to make many (yet to be defined) strategic operational decisions. But because of their transformative promise and heavy news coverage, the prospect of automated cars has become a source of great hope for many. Some believe that fully automated cars,capable of navigating the roadways while the “operator”reads a paper or takes a nap, will be available within a few years. Unfortunately, that is not the case. Instead, there is work to be done to increase the awareness and education necessary to spur the purchasing of ADAS available today,which will support many older drivers’ mobility and safety needs.",1,,1,,Yes,Quan Sun,Bryan Reimer,2014,Journal Article,,,,,,,"“Given the strong association between older adult frailty and fatality in automotive accidents (Li, Braver, & Chen, 2003),” ([Reimer, 2014, p. 28](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=2&annotation=D7JC9AIB)) old findings","Findings 1. Women frequently cease driving earlier than men, and often while still fit to drive (Alsnih & Hensher, 2003; Siren, HakamiesBlomqvist, & Lindeman, 2004). Widowhood can increase older women’s need to drive (Braitman & Williams, 2011) at a time when this is particularly challenging. ////// Findings 2. Even if that failure rate is smaller than that of unaided human drivers, it may still be difficult for drivers—most of whom have an inflated impression of their driving abilities (McKenna, Stanier, & Lewis, 1991)—to trust a technology that could appear unpredictable (Lee & See, 2004). Worse, such trust deficits are exacerbated with age (Ho, Kiff, Plocher, & Haigh, 2005). Mistrust in technology and excessive trust in human capabilities together have a way of overshadowing statistics. ////// Findings 3. “Given the learning curve associated with new technologies, many, especially older drivers, are already primed to reject these systems and thus their benefits.” ([Reimer, 2014, p. 29](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=3&annotation=YHMBKQSI))",,,,,"“A Federal Motor Vehicle Safety Standard requires that one Level-1 system, electronic stability control, be provided as standard equipment on any 2012 model year or newer passenger vehicles sold in the United States.” ([Reimer, 2014, p. 28](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=2&annotation=NAANKZVI))",,,"Policymakers, researchers, and industrialists should focus on developing a cohesive vision for increased vehicular automation that promotes, where effective, the utilization of current safety systems to reduce traffic fatalities, personal injury, and property damage. While such a goal can be achieved through current Federal Motor-Vehicle Safety Standards, it will require the development of new sources of data to support regulation. Naturalistic data recorders that can capture detailed data on how and where drivers operate advanced safety technologies will be critical to describing how the utilization of driver assistance systems impacts crash causation and occupant safety. While the benefits of such tracking technologies are great, they will not come without cost, encroaching upon issues of personal privacy, data security, and liability.","Findings 1. “Drivers are presently largely uneducated concerning the functionality of ADAS (Traffic Injury Research Foundation, 2013). They have little experience on which to form an accurate model of operation for these technologies, and no clear source of guidance on the appropriate conditions in which to operate or trust them.” (Reimer, 2014, p. 28) ////// Findings 2. “When drivers approached a parallel parking situation, their stress level, as measured through the heart rate, was lower when the automation was available to help them. Tellingly, after becoming acquainted with the technology through the experiment, participants reported more positive expectations of how the technology could reduce stress, and many expressed interest in purchasing the system.” ([Reimer, 2014, p. 29](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=3&annotation=XJUTH4M7)) ////// Same as findings 2. “When people are extensively trained in the use of a technology, perhaps well beyond the training provided by a car manual or a YouTube video, they often can better grasp the limitations of a system and experience its benefits more clearly. Without appropriate exposure, however, they have limited experience in which to ground their expectations.” ([Reimer, 2014, p. 29](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=3&annotation=Q58XNKWK)) //////// Findings 3. When a crash occurs due to an operator overly relying on the backup camera, it may be due to the operator’s failure to understand (or recall) limitations in the view provided by the camera. Education on how to use a backup camera—and other ADAS—could help prevent such issues, but the infrastructure to accomplish this education does not exist at present.",,,"“The policies we should develop to address these issues will require investment in basic research on humanmachine interaction, and, more specifically, on drivers’ relationship with automated vehicles. Such research must explore how necessary advances in interfaces will fit within current guidelines for driver distraction and establish a clear understanding of how the safety risks associated with distraction and fatigue change with increased ADAS.” ([Reimer, 2014, p. 30](zotero://select/groups/4433127/items/K5J3LVME)) ([pdf](zotero://open-pdf/groups/4433127/items/BN8EDQGV?page=4&annotation=8UFSH8RE))",,,Y
,10,Wayne Law Review,"Rev., 2014, 60: 567.","Schwartz, R. (2014). Telsa, vertical integration, and incumbent legal disadvantages in the new car retailing market. Wayne L. Rev., 60, 567.","Telsa, Vertical Integration, and Incumbent Legal Disadvantages in the New Car Retailing Market Notes",2,https://heinonline.org/HOL/Page?handle=hein.journals/waynlr60&div=25&g_sent=1&casa_token=Z1S-RzWYBCcAAAAA:lXHYOcMLKJY_Te6bi8Pet8gZhWyjHVOv_IXh0EL3ZI_sJTgzohhE5DgxVUPxU8VqN6HHWvm1&collection=journals,"For decades, the retail automotive industry structure stayed relatively the same. A manufacturer would sell their product to a local dealership who would then sell it to the ultimate consumer.' This was true for so long that many states began enacting statutes codifying that market structure in the 1960s after independent dealers raised concerns about the manufacturers using predatory conduct towards them.2 As a result, a system of mandatory vertical disintegration exists across most of the country. Because of this, one could ask his grandfather how he bought his first new car and would likely find himself able to answer the question exactly the same today if he just bought a new car off the lot. And then came the Internet. With the prospect of being able to sell online, costs theoretically should be lower now as consumers easily shop around for the best price for a new car from various dealers across the country, or even directly from the factory. However, these theoretical increases to supply chain efficiencies resulting from Internet retailing have not decreased costs. In fact, e-retailing of new cars is prohibited under nearly every state's laws for the vast majority of manufacturers, that is unless you want to shop online from your neighborhood dealer's website who already contractually controls the local market.4 State motor vehicle laws are proving to be a mechanism for preventing innovation in the new car retailing market for most areas of the country. However, because of subtle, but crucial differences between the state motor vehicle laws, some manufactures are better able to take advantage of the current system. Start-up manufacturers have the choice of vertically integrating their dealer networks in some states, while existing manufacturers cannot in nearly all of them.5 While there may be cost savings for startup manufacturers using this strategy on a state-by-state basis, it also prevents them from entering some states entirely, thus barring revenue prospects. Regardless of the disparity in choices facing manufacturers over how to retail their products depending in part on when they came into existence, a manufacturer, new or old, could make a legal challenge involving the Commerce Clause.6 That is not the only strategy, however. As Tesla Motors found, a piecemeal legislative lobbying strategy is an alternative option for updating outdated state motor vehicle franchising laws.7 Local state administrative agencies also provide some procedural protections if the manufacturer is approved for licensing.8 Manufacturers, both old and new, implementing the strategies discussed in this Note will be better situated to deal with onerous state statutes regulating interactions with their dealership network after adopting a vertically integrated retailing strategy. To start, it is a good idea to understand the origins of these restrictive state statutes.",,,1,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,11,ISSN,0925-7535,"Banks, V. A., Stanton, N. A., & Harvey, C. (2014). Sub-systems on the road to vehicle automation: Hands and feet free but not ‘mind’free driving. Safety science, 62, 505-514.",Sub-systems on the road to vehicle automation: Hands and feet free but not ‘mind’ free driving,1,Sub-systems on the road to vehicle automation: Hands and feet free but not ‘mind’ free driving | Elsevier Enhanced Reader,"Automation essentially enables drivers to become “hands and feet free” but not necessarily “mind-free” during vehicle operation and on these grounds, increased vehicle automation may contribute to safety concerns rather than overcome them. Although automated systems were originally designed to improve driver safety by reducing driver fatigue, stress and ultimately error, there is growing concern within the Ergonomics and Human Factors community that automation may introduce additional complexity into the driving task placing increased pressure on drivers to monitor both the environment and behaviour of vehicle sub-systems. This paper considers how increasing the level of automation within the sub-tasks of driving may affect the traditional role of the driver. Using the Distributed Cognition approach and Operator Sequence Diagrams as a representational aid, this paper indicates that the level at which automation is set significantly affects the dynamism of the system network.",1,0,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,19,DOI,10.1504/IJVD.2016.074419,"Walker, G. H., Stanton, N. A., & Salmon, P. (2016). Trust in vehicle technology. International journal of vehicle design, 70(2), 157-182.",Trust in vehicle technology,4,Trust in vehicle technology | International Journal of Vehicle Design (inderscienceonline.com),"Driver trust has potentially important implications for how vehicle technology is used and interacted with. In this paper, it will be seen how driver trust functions and how it can be understood and manipulated by insightful vehicle design. It will review the theoretical literature to define steps that can be taken to establish trust in vehicle technology in the first place, maintain trust in the long term, and even re-establish trust that has been lost along the way. The paper presents a synthesis of the wider trust literature, integrates key trust parameters, describes practically how to measure trust, and presents a set of principles for vehicle designers to use in assessing existing design decisions and justify new ones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,22,DOI,10.1016/j.apergo.2015.06.020,"Banks, V. A., & Stanton, N. A. (2016). Keep the driver in control: Automating automobiles of the future. Applied ergonomics, 53, 389-395.",Keep the driver in control: Automating automobiles of the future,1,https://www.sciencedirect.com/science/article/pii/S0003687015300247?casa_token=E0jR8hxLcukAAAAA:gvps9f3QotEogjCqC5aO3k_A_LgHrXd6s3hLsWj9sED9c4us4i4cACm82if0BwQu1RiyH0slqQ,"Automated automobiles will be on our roads within the next decade but the role of the driver has not yet been formerly recognised or designed. Rather, the driver is often left in a passive monitoring role until they are required to reclaim control from the vehicle. This research aimed to test the idea of driver-initiated automation, in which the automation offers decision support that can be either accepted or ignored. The test case examined a combination of lateral and longitudinal control in addition to an auto-overtake system. Despite putting the driver in control of the automated systems by enabling them to accept or ignore behavioural suggestions (e.g. overtake), there were still issues associated with increased workload and decreased trust. These issues are likely to have arisen due to the way in which the automated system has been designed. Recommendations for improvements in systems design have been made which are likely to improve trust and make the role of the driver more transparent concerning their authority over the automated system.",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
